,MSA,Annualized Growth Rate TP,Annualized GDP,Unnamed: 3,Unnamed: 4,Unnamed: 5,GeoName.1,Annualized Growth Rate TP.1,Annualized GDP.1,Unnamed: 9,Unnamed: 10,GeoName.2,Annualized Growth Rate TP.2,Annualized Growth Rate GDP,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
10,"Ames, IA (Metropolitan Statistical Area)",0.009199859494119167,0.022043913503764667,,,,,,,,,"Ames, IA (Metropolitan Statistical Area)",0.009199859494119167,0.012726967695064761,,,,
11,"Anchorage, AK (Metropolitan Statistical Area)",0.01196432786447077,0.014696581446084211,,,,,,,,,"Anchorage, AK (Metropolitan Statistical Area)",0.01196432786447077,0.0026999504887479375,,,,
12,"Ann Arbor, MI (Metropolitan Statistical Area)",0.007131650278924928,0.00818212348579439,,,,,,,,,"Ann Arbor, MI (Metropolitan Statistical Area)",0.007131650278924928,0.0010430346485275077,,,,
13,"Anniston-Oxford, AL (Metropolitan Statistical Area)",0.0015719162127387776,0.008217806913670911,,,,,,,,,"Anniston-Oxford, AL (Metropolitan Statistical Area)",0.0015719162127387776,0.006635460313286767,,,,
14,"Appleton, WI (Metropolitan Statistical Area)",0.008504581146084433,0.012123667728745957,,,,,,,,,"Appleton, WI (Metropolitan Statistical Area)",0.008504581146084433,0.003588567320684355,,,,
15,"Asheville, NC (Metropolitan Statistical Area)",0.012051685377766352,0.018892907291039096,,,,,,,,,"Asheville, NC (Metropolitan Statistical Area)",0.012051685377766352,0.006759755467151907,,,,
16,"Athens-Clarke County, GA (Metropolitan Statistical Area)",0.01323793703684184,0.018308131523485427,,,,,,,,,"Athens-Clarke County, GA (Metropolitan Statistical Area)",0.01323793703684184,0.005003952478793927,,,,
17,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",0.01787677174296265,0.019606550454362104,,,,,,,,,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",0.01787677174296265,0.0016993989443705448,,,,
18,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",0.0021905022585086975,-0.0030987635130369506,,,,,,,,,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",0.0021905022585086975,-0.0052777049469396875,,,,
19,"Auburn-Opelika, AL (Metropolitan Statistical Area)",0.020134181699054787,0.041629899741552956,,,,,,,,,"Auburn-Opelika, AL (Metropolitan Statistical Area)",0.020134181699054787,0.021071461409808423,,,,
20,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",0.00971180440353625,0.013837679738492925,,,,,,,,,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",0.00971180440353625,0.004086191046755117,,,,
21,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",0.02956524890141221,0.04699538083175292,,,,,,,,,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",0.02956524890141221,0.01692960397501686,,,,
22,"Bakersfield, CA (Metropolitan Statistical Area)",0.01671168607454665,0.0354257962332849,,,,,,,,,"Bakersfield, CA (Metropolitan Statistical Area)",0.01671168607454665,0.018406506402018463,,,,
23,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",0.004987842952783872,0.01981807803547153,,,,,,,,,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",0.004987842952783872,0.01475663132313576,,,,
24,"Bangor, ME (Metropolitan Statistical Area)",0.0019758101520537252,0.004119379953828606,,,,,,,,,"Bangor, ME (Metropolitan Statistical Area)",0.0019758101520537252,0.0021393428664207015,,,,
25,"Barnstable Town, MA (Metropolitan Statistical Area)",-0.002866771987794392,0.009858094094591818,,,,,,,,,"Barnstable Town, MA (Metropolitan Statistical Area)",-0.002866771987794392,0.012761450250487805,,,,
26,"Baton Rouge, LA (Metropolitan Statistical Area)",0.008925928357136348,0.018458700020518526,,,,,,,,,"Baton Rouge, LA (Metropolitan Statistical Area)",0.008925928357136348,0.00944843560409292,,,,
27,"Battle Creek, MI (Metropolitan Statistical Area)",-0.0015828881248081128,0.00114268949460139,,,,,,,,,"Battle Creek, MI (Metropolitan Statistical Area)",-0.0015828881248081128,0.0027298987437127664,,,,
28,"Bay City, MI (Metropolitan Statistical Area)",-0.003249890218727014,-0.0004020943285787393,,,,,,,,,"Bay City, MI (Metropolitan Statistical Area)",-0.003249890218727014,0.002857081090036795,,,,
29,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",0.001977612018302377,0.014066702947685306,,,,,,,,,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",0.001977612018302377,0.012065230584375586,,,,
30,"Beckley, WV (Metropolitan Statistical Area)",-0.003895831705185371,0.000923431432346522,,,,,,,,,"Beckley, WV (Metropolitan Statistical Area)",-0.003895831705185371,0.004838111606120243,,,,
31,"Bellingham, WA (Metropolitan Statistical Area)",0.016395981694267148,0.032674336309303165,,,,,,,,,"Bellingham, WA (Metropolitan Statistical Area)",0.016395981694267148,0.016015760499073384,,,,
32,"Bend, OR (Metropolitan Statistical Area)",0.027767287242380645,0.03574327798053334,,,,,,,,,"Bend, OR (Metropolitan Statistical Area)",0.027767287242380645,0.007760502632413235,,,,
33,"Billings, MT (Metropolitan Statistical Area)",0.011364123299474116,0.01960076335588057,,,,,,,,,"Billings, MT (Metropolitan Statistical Area)",0.011364123299474116,0.008144089617827532,,,,
34,"Binghamton, NY (Metropolitan Statistical Area)",-0.002947237927305668,0.017444646777281747,,,,,,,,,"Binghamton, NY (Metropolitan Statistical Area)",-0.002947237927305668,0.020452162092401416,,,,
35,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",0.005649426994418505,0.01165736043724741,,,,,,,,,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",0.005649426994418505,0.005974182733623934,,,,
36,"Bismarck, ND (Metropolitan Statistical Area)",0.016440225237337236,0.03215956405261089,,,,,,,,,"Bismarck, ND (Metropolitan Statistical Area)",0.016440225237337236,0.015465089264450338,,,,
37,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",0.005464642810727227,0.015963636468865117,,,,,,,,,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",0.005464642810727227,0.010441932228256734,,,,
38,"Bloomington, IL (Metropolitan Statistical Area)",0.007305173387514019,0.017822791063899057,,,,,,,,,"Bloomington, IL (Metropolitan Statistical Area)",0.007305173387514019,0.010441341863672848,,,,
39,"Bloomington, IN (Metropolitan Statistical Area)",0.00916922465104042,0.01629256476988683,,,,,,,,,"Bloomington, IN (Metropolitan Statistical Area)",0.00916922465104042,0.007058618064090805,,,,
40,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",0.0007813853044471575,0.014388104116712874,,,,,,,,,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",0.0007813853044471575,0.013596095023416632,,,,
41,"Boise City, ID (Metropolitan Statistical Area)",0.024245661055321666,0.031390476855914784,,,,,,,,,"Boise City, ID (Metropolitan Statistical Area)",0.024245661055321666,0.006975685689731392,,,,
42,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",0.005622770464311921,0.021919232977423153,,,,,,,,,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",0.005622770464311921,0.01620534358583292,,,,
43,"Boulder, CO (Metropolitan Statistical Area) *",0.004888236841374738,0.0203905015863044,,,,,,,,,"Boulder, CO (Metropolitan Statistical Area) *",0.004888236841374738,0.0154268546258014,,,,
44,"Bowling Green, KY (Metropolitan Statistical Area)",0.015371616981636249,0.020042634556780348,,,,,,,,,"Bowling Green, KY (Metropolitan Statistical Area)",0.015371616981636249,0.004600303472170664,,,,
45,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",0.008280474596476406,0.01914118392238784,,,,,,,,,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",0.008280474596476406,0.010771516060804398,,,,
46,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",0.00352210274990572,0.0005404500094992049,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",0.00352210274990572,-0.0029711879112935824,,,,
47,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",0.01264577646274545,0.01821787247703721,,,,,,,,,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",0.01264577646274545,0.005502512471592613,,,,
48,"Brunswick, GA (Metropolitan Statistical Area)",0.013032276112675545,0.009401086796958724,,,,,,,,,"Brunswick, GA (Metropolitan Statistical Area)",0.013032276112675545,-0.003584475442036994,,,,
49,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",-0.0017881909921217964,0.013718678934965034,,,,,,,,,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",-0.0017881909921217964,0.015534648846219579,,,,
50,"Burlington, NC (Metropolitan Statistical Area)",0.0131244140313862,0.00885945554383194,,,,,,,,,"Burlington, NC (Metropolitan Statistical Area)",0.0131244140313862,-0.004209708529857026,,,,
51,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",0.005511537626109453,0.019593931805546916,,,,,,,,,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",0.005511537626109453,0.014005203970791191,,,,
52,"California-Lexington Park, MD (Metropolitan Statistical Area)",0.015010696373719545,0.03074550602952475,,,,,,,,,"California-Lexington Park, MD (Metropolitan Statistical Area)",0.015010696373719545,0.015502112157064207,,,,
53,"Canton-Massillon, OH (Metropolitan Statistical Area)",-0.0011103902109594888,0.013660721057815906,,,,,,,,,"Canton-Massillon, OH (Metropolitan Statistical Area)",-0.0011103902109594888,0.014787531198662718,,,,
54,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",0.0294078064782044,0.02799999186250246,,,,,,,,,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",0.0294078064782044,-0.001367596599561871,,,,
55,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",0.00360562882040405,0.011002427080611277,,,,,,,,,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",0.00360562882040405,0.007370223968254486,,,,
56,"Carbondale-Marion, IL (Metropolitan Statistical Area)",0.0012467900720392056,0.01586802434830137,,,,,,,,,"Carbondale-Marion, IL (Metropolitan Statistical Area)",0.0012467900720392056,0.0146030273667197,,,,
57,"Carson City, NV (Metropolitan Statistical Area)",0.0021006808151708967,0.005289721284919446,,,,,,,,,"Carson City, NV (Metropolitan Statistical Area)",0.0021006808151708967,0.0031823553569032548,,,,
58,"Casper, WY (Metropolitan Statistical Area)",0.009844511087030883,0.029688055625638476,,,,,,,,,"Casper, WY (Metropolitan Statistical Area)",0.009844511087030883,0.01965009892190972,,,,
59,"Cedar Rapids, IA (Metropolitan Statistical Area)",0.007418151510772519,0.02934608880081324,,,,,,,,,"Cedar Rapids, IA (Metropolitan Statistical Area)",0.007418151510772519,0.021766470315386366,,,,
60,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",0.01006146720517509,0.019978099738285016,,,,,,,,,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",0.01006146720517509,0.0098178505517581,,,,
61,"Champaign-Urbana, IL (Metropolitan Statistical Area)",0.007816508002088662,0.013231132822037583,,,,,,,,,"Champaign-Urbana, IL (Metropolitan Statistical Area)",0.007816508002088662,0.005372629617551139,,,,
62,"Charleston, WV (Metropolitan Statistical Area)",-0.005018326465523804,-0.007238486031031277,,,,,,,,,"Charleston, WV (Metropolitan Statistical Area)",-0.005018326465523804,-0.0022313572446223118,,,,
63,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",0.020600944431041324,0.03314927615700847,,,,,,,,,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",0.020600944431041324,0.01229504224392275,,,,
64,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",0.021895956237434788,0.027064535626068142,,,,,,,,,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",0.021895956237434788,0.005057833292210878,,,,
65,"Charlottesville, VA (Metropolitan Statistical Area) *",0.012141512656622888,0.026798268721678342,,,,,,,,,"Charlottesville, VA (Metropolitan Statistical Area) *",0.012141512656622888,0.014480935602162015,,,,
66,"Chattanooga, TN-GA (Metropolitan Statistical Area)",0.00897099529258627,0.018240842598808094,,,,,,,,,"Chattanooga, TN-GA (Metropolitan Statistical Area)",0.00897099529258627,0.009187426942370847,,,,
67,"Cheyenne, WY (Metropolitan Statistical Area)",0.01072919479761425,0.021553184835728656,,,,,,,,,"Cheyenne, WY (Metropolitan Statistical Area)",0.01072919479761425,0.010709090124068066,,,,
68,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",0.002076573562470152,0.01016496466753014,,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",0.002076573562470152,0.0080716297720691,,,,
69,"Chico, CA (Metropolitan Statistical Area)",0.006770623537022402,0.020577140231684554,,,,,,,,,"Chico, CA (Metropolitan Statistical Area)",0.006770623537022402,0.013713666620661424,,,,
70,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",0.004956536361807817,0.012426878793134533,,,,,,,,,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",0.004956536361807817,0.007433498028055263,,,,
71,"Clarksville, TN-KY (Metropolitan Statistical Area)",0.015477022991130518,0.023092438810574656,,,,,,,,,"Clarksville, TN-KY (Metropolitan Statistical Area)",0.015477022991130518,0.007499348234401904,,,,
72,"Cleveland, TN (Metropolitan Statistical Area)",0.009485104415324352,0.02098025726296404,,,,,,,,,"Cleveland, TN (Metropolitan Statistical Area)",0.009485104415324352,0.011387144592190479,,,,
73,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",-0.0023729178945187668,0.007244500519575814,,,,,,,,,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",-0.0023729178945187668,0.009640294040331288,,,,
74,"Coeur d'Alene, ID (Metropolitan Statistical Area)",0.02201139476608871,0.028075571247605513,,,,,,,,,"Coeur d'Alene, ID (Metropolitan Statistical Area)",0.02201139476608871,0.0059335703227698655,,,,
75,"College Station-Bryan, TX (Metropolitan Statistical Area)",0.01971368621324321,0.03750987313595089,,,,,,,,,"College Station-Bryan, TX (Metropolitan Statistical Area)",0.01971368621324321,0.017452140893386314,,,,
76,"Colorado Springs, CO (Metropolitan Statistical Area)",0.016759347339788233,0.0206212833124495,,,,,,,,,"Colorado Springs, CO (Metropolitan Statistical Area)",0.016759347339788233,0.0037982792907342855,,,,
77,"Columbia, MO (Metropolitan Statistical Area)",0.013625099272893682,0.01649173704133644,,,,,,,,,"Columbia, MO (Metropolitan Statistical Area)",0.013625099272893682,0.0028281045630176305,,,,
78,"Columbia, SC (Metropolitan Statistical Area)",0.013843141302677164,0.01859155716829397,,,,,,,,,"Columbia, SC (Metropolitan Statistical Area)",0.013843141302677164,0.004683580400332454,,,,
79,"Columbus, GA-AL (Metropolitan Statistical Area)",0.004275683188528667,0.01085575063799249,,,,,,,,,"Columbus, GA-AL (Metropolitan Statistical Area)",0.004275683188528667,0.0065520529468288125,,,,
80,"Columbus, IN (Metropolitan Statistical Area)",0.008130968603529576,0.035525041727791695,,,,,,,,,"Columbus, IN (Metropolitan Statistical Area)",0.008130968603529576,0.027173129263362128,,,,
81,"Columbus, OH (Metropolitan Statistical Area)",0.012455716440428422,0.016763931890553696,,,,,,,,,"Columbus, OH (Metropolitan Statistical Area)",0.012455716440428422,0.004255213714701611,,,,
82,"Corpus Christi, TX (Metropolitan Statistical Area)",0.007125678083336862,0.011242636750896873,,,,,,,,,"Corpus Christi, TX (Metropolitan Statistical Area)",0.007125678083336862,0.004087830106164203,,,,
83,"Corvallis, OR (Metropolitan Statistical Area)",0.00945036549055489,0.034628846941970215,,,,,,,,,"Corvallis, OR (Metropolitan Statistical Area)",0.00945036549055489,0.024942763222617348,,,,
84,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",0.01538218152713755,0.02398143591769597,,,,,,,,,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",0.01538218152713755,0.008468982957358095,,,,
85,"Cumberland, MD-WV (Metropolitan Statistical Area)",-0.002168492998144367,0.0070922270578992475,,,,,,,,,"Cumberland, MD-WV (Metropolitan Statistical Area)",-0.002168492998144367,0.009280845504537227,,,,
86,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",0.02008932604325997,0.03122366544808841,,,,,,,,,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",0.02008932604325997,0.01091506314257451,,,,
87,"Dalton, GA (Metropolitan Statistical Area)",0.008820598402270008,0.011119441310174505,,,,,,,,,"Dalton, GA (Metropolitan Statistical Area)",0.008820598402270008,0.0022787430307680268,,,,
88,"Danville, IL (Metropolitan Statistical Area)",-0.005005714496663205,0.00936209945508093,,,,,,,,,"Danville, IL (Metropolitan Statistical Area)",-0.005005714496663205,0.014440096954401849,,,,
89,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",0.02433398211641591,0.022895736305236447,,,,,,,,,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",0.02433398211641591,-0.0014040789784283136,,,,
90,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",0.0010727943602983903,0.01177834277951817,,,,,,,,,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",0.0010727943602983903,0.01069407587493254,,,,
91,"Dayton-Kettering, OH (Metropolitan Statistical Area)",0.00015110255020345242,0.005302014224848106,,,,,,,,,"Dayton-Kettering, OH (Metropolitan Statistical Area)",0.00015110255020345242,0.005150133476342411,,,,
92,"Decatur, AL (Metropolitan Statistical Area)",0.0021672151620044655,0.008241996889720271,,,,,,,,,"Decatur, AL (Metropolitan Statistical Area)",0.0021672151620044655,0.006061644839113756,,,,
93,"Decatur, IL (Metropolitan Statistical Area)",-0.004782936476058541,0.009373866920976193,,,,,,,,,"Decatur, IL (Metropolitan Statistical Area)",-0.004782936476058541,0.014224839902671205,,,,
94,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",0.01582925111183653,0.021040432750235816,,,,,,,,,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",0.01582925111183653,0.005129977929554386,,,,
95,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",0.016539899339646613,0.02105186360221678,,,,,,,,,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",0.016539899339646613,0.004438551074582797,,,,
96,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",0.016184079519915517,0.026516014032485824,,,,,,,,,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",0.016184079519915517,0.010167384749278252,,,,
97,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",-0.001811246158813895,0.004683911654200346,,,,,,,,,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",-0.001811246158813895,0.006506943489415162,,,,
98,"Dothan, AL (Metropolitan Statistical Area)",0.007114676656112318,0.007611367464635865,,,,,,,,,"Dothan, AL (Metropolitan Statistical Area)",0.007114676656112318,0.0004931819782159064,,,,
99,"Dover, DE (Metropolitan Statistical Area)",0.019199058061656338,0.006521202700665363,,,,,,,,,"Dover, DE (Metropolitan Statistical Area)",0.019199058061656338,-0.012439037556708499,,,,
100,"Dubuque, IA (Metropolitan Statistical Area)",0.0050321872091751985,0.021908889480776406,,,,,,,,,"Dubuque, IA (Metropolitan Statistical Area)",0.0050321872091751985,0.016792200773654287,,,,
101,"Duluth, MN-WI (Metropolitan Statistical Area)",0.0002782946920782958,0.014564165515116967,,,,,,,,,"Duluth, MN-WI (Metropolitan Statistical Area)",0.0002782946920782958,0.014281896247120285,,,,
102,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",0.01598233339490318,0.03358280055745566,,,,,,,,,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",0.01598233339490318,0.017323595680783566,,,,
103,"East Stroudsburg, PA (Metropolitan Statistical Area)",0.00973203037920456,0.01191805563192383,,,,,,,,,"East Stroudsburg, PA (Metropolitan Statistical Area)",0.00973203037920456,0.002164955836746474,,,,
104,"Eau Claire, WI (Metropolitan Statistical Area)",0.007060429866925011,0.028194026555192098,,,,,,,,,"Eau Claire, WI (Metropolitan Statistical Area)",0.007060429866925011,0.020985430527798332,,,,
105,"El Centro, CA (Metropolitan Statistical Area)",0.013936167321339621,0.02764895732576078,,,,,,,,,"El Centro, CA (Metropolitan Statistical Area)",0.013936167321339621,0.013524312916707748,,,,
106,"El Paso, TX (Metropolitan Statistical Area)",0.011809447524396166,0.02206562324055139,,,,,,,,,"El Paso, TX (Metropolitan Statistical Area)",0.011809447524396166,0.010136469610210641,,,,
107,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",0.0072482494637633454,0.0156780149525535,,,,,,,,,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",0.0072482494637633454,0.008369104134237082,,,,
108,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0.0063117037575721735,0.02537079080792015,,,,,,,,,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0.0063117037575721735,0.018939546245145822,,,,
109,"Elmira, NY (Metropolitan Statistical Area)",-0.004378793896509636,0.011118513855632672,,,,,,,,,"Elmira, NY (Metropolitan Statistical Area)",-0.004378793896509636,0.015565465718426541,,,,
110,"Enid, OK (Metropolitan Statistical Area)",0.003624939684867101,0.03193974304403113,,,,,,,,,"Enid, OK (Metropolitan Statistical Area)",0.003624939684867101,0.028212534622799268,,,,
111,"Erie, PA (Metropolitan Statistical Area)",-0.0018260569609569455,0.005583840449417954,,,,,,,,,"Erie, PA (Metropolitan Statistical Area)",-0.0018260569609569455,0.007423453058506668,,,,
112,"Eugene-Springfield, OR (Metropolitan Statistical Area)",0.009204937547952818,0.018172582321988706,,,,,,,,,"Eugene-Springfield, OR (Metropolitan Statistical Area)",0.009204937547952818,0.008885851069877493,,,,
113,"Evansville, IN-KY (Metropolitan Statistical Area)",0.0034003435505494117,0.00543973275758991,,,,,,,,,"Evansville, IN-KY (Metropolitan Statistical Area)",0.0034003435505494117,0.002032478083298539,,,,
114,"Fairbanks, AK (Metropolitan Statistical Area) *",0.009121719515477356,-0.002329431439558216,,,,,,,,,"Fairbanks, AK (Metropolitan Statistical Area) *",0.009121719515477356,-0.011347640957062977,,,,
115,"Fargo, ND-MN (Metropolitan Statistical Area)",0.01941204916367445,0.030591710004497674,,,,,,,,,"Fargo, ND-MN (Metropolitan Statistical Area)",0.01941204916367445,0.010966773298388022,,,,
116,"Farmington, NM (Metropolitan Statistical Area)",0.004555532246063088,-0.007177802041270165,,,,,,,,,"Farmington, NM (Metropolitan Statistical Area)",0.004555532246063088,-0.011680125100798522,,,,
117,"Fayetteville, NC (Metropolitan Statistical Area)",0.01108681477748874,0.016898161719011817,,,,,,,,,"Fayetteville, NC (Metropolitan Statistical Area)",0.01108681477748874,0.005747624097740989,,,,
118,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",0.026601600055187413,0.033921786410615384,,,,,,,,,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",0.026601600055187413,0.007130503551752154,,,,
119,"Flagstaff, AZ (Metropolitan Statistical Area)",0.011164395471842115,0.019195691456617148,,,,,,,,,"Flagstaff, AZ (Metropolitan Statistical Area)",0.011164395471842115,0.007942621418179252,,,,
120,"Flint, MI (Metropolitan Statistical Area)",-0.004402255754032747,-0.002025712109149369,,,,,,,,,"Flint, MI (Metropolitan Statistical Area)",-0.004402255754032747,0.002387052058543171,,,,
121,"Florence, SC (Metropolitan Statistical Area)",0.003165305460550938,0.012992420391609416,,,,,,,,,"Florence, SC (Metropolitan Statistical Area)",0.003165305460550938,0.009796107259258502,,,,
122,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",0.0018555063341130218,0.01428469163685131,,,,,,,,,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",0.0018555063341130218,0.012406165583915385,,,,
123,"Fond du Lac, WI (Metropolitan Statistical Area)",0.0030559864710866247,0.015699189746940068,,,,,,,,,"Fond du Lac, WI (Metropolitan Statistical Area)",0.0030559864710866247,0.012604683533502525,,,,
124,"Fort Collins, CO (Metropolitan Statistical Area)",0.017603249779945207,0.028966359132637676,,,,,,,,,"Fort Collins, CO (Metropolitan Statistical Area)",0.017603249779945207,0.01116654192599098,,,,
125,"Fort Smith, AR-OK (Metropolitan Statistical Area)",0.005494462692861912,0.007189731948553879,,,,,,,,,"Fort Smith, AR-OK (Metropolitan Statistical Area)",0.005494462692861912,0.0016860055610368185,,,,
126,"Fort Wayne, IN (Metropolitan Statistical Area)",0.006624557358824168,0.018244093552620022,,,,,,,,,"Fort Wayne, IN (Metropolitan Statistical Area)",0.006624557358824168,0.011543068474589191,,,,
127,"Fresno, CA (Metropolitan Statistical Area)",0.011916477491922928,0.025680842369003143,,,,,,,,,"Fresno, CA (Metropolitan Statistical Area)",0.011916477491922928,0.013602273688828381,,,,
