,observation_date,LNU04032241
227,2018-12-01,6.0
228,2019-01-01,6.4
229,2019-02-01,5.8
230,2019-03-01,5.8
231,2019-04-01,4.5
232,2019-05-01,5.0
233,2019-06-01,4.9
234,2019-07-01,5.3
235,2019-08-01,5.0
236,2019-09-01,4.8
237,2019-10-01,5.3
238,2019-11-01,4.9
239,2019-12-01,5.0
240,2020-01-01,5.9
241,2020-02-01,5.7
242,2020-03-01,8.1
243,2020-04-01,39.3
244,2020-05-01,35.9
